Month,Year,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
1.0,2018,01/01/2018  5:43 PM,.        .,". Hours,  . Minutes",American Electric Power - Texas,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,Unknown,Unknown
1.0,2018,01/01/2018  6:21 PM,01/02/2018  6:11 PM,"23 Hours, 50 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,Unknown,Unknown
1.0,2018,01/01/2018  9:37 PM,01/02/2018 10:30 AM,"12 Hours, 53 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,Unknown,Unknown
1.0,2018,01/02/2018  6:45 AM,01/02/2018  9:00 AM,"2 Hours, 15 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,System-wide voltage reductions of 3 percent or more-Severe Weather,14998,Unknown
1.0,2018,01/02/2018  7:30 AM,.        .,". Hours,  . Minutes",South Carolina Electric and Gas,SERC,South Carolina:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,0,717000
1.0,2018,01/02/2018 10:00 AM,02/12/2018  8:00 AM,"982 Hours,  0 Minutes","Somerset Operating Company, LLC",NPCC,New York: Niagara County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,675,Unknown
1.0,2018,01/15/2018  4:20 AM,01/18/2018  5:48 AM,"73 Hours, 28 Minutes",American Electric Power - Texas,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,Unknown,Unknown
1.0,2018,01/16/2018  1:57 PM,01/16/2018  2:32 PM,"0 Hours, 35 Minutes",ERCOT,TRE,Texas:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,Unknown,Unknown
1.0,2018,01/16/2018  3:00 PM,01/18/2018  1:00 PM,"46 Hours,  0 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,Unknown,Unknown
1.0,2018,01/16/2018  3:00 PM,01/18/2018  1:00 PM,"46 Hours,  0 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,Unknown,Unknown
