Area Affected,index,Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Type of Disturbance,Loss (megawatts),Number of Customers Affected
King,52,2016,8.0,2016-08-24 19:18:00,2016-08-24 19:47:00,"0 Hours, 29 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,9232,Unknown
Clark,54,2016,8.0,2016-08-31 14:52:00,2016-08-31 14:52:00,ongoing,Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0
Clark,59,2016,9.0,2016-09-06 18:12:00,2016-09-06 21:24:00,"3 Hours, 12 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,300,Unknown
WA,61,2016,9.0,2016-09-08 14:49:00,2016-09-08 15:03:00,"0 Hours, 14 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0
Clark,62,2016,9.0,2016-09-10 09:42:00,2016-09-10 09:57:00,"0 Hours, 15 Minutes",Peak Reliability,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,135,Unknown
WA,74,2017,10.0,2017-10-16 15:45:00,2017-10-16 16:09:00,"0 Hours, 24 Minutes",Bonneville Power Administration,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
WA,75,2017,10.0,2017-10-16 15:55:00,2017-10-16 16:10:00,"0 Hours, 15 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
WA,76,2017,10.0,2017-10-20 03:44:00,2017-10-20 03:45:00,"0 Hours,  1 Minutes",Peak Reliability,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Severe Weather,900,Unknown
Clark,79,2017,10.0,2017-10-26 08:17:00,2017-10-26 08:41:00,"0 Hours, 24 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
Whatcom,80,2017,10.0,2017-10-26 08:17:00,2017-10-26 08:41:00,"0 Hours, 24 Minutes",Bonneville Power Administration,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
Island,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
King,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
Kitsap,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
Thurston,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
Skagit,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
Whatcom,84,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,"54 Hours, 17 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,236100
King,85,2017,11.0,2017-11-13 16:33:00,2017-11-16 06:00:00,"61 Hours, 27 Minutes","Seattle City Light, Sytem Control Center",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",85,68430
WA,64,2018,6.0,2018-06-22 14:38:00,2018-06-22 14:38:00,". Hours,  . Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Severe Weather,10000,4200000
Clark,78,2018,7.0,2018-07-27 09:34:00,2018-07-27 09:51:00,"0 Hours, 17 Minutes",Peak Reliability,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-System Operations,Unknown,Unknown
King,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Kitsap,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Island,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Pierce,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Thurston,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Whatcom,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Skagit,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Kittitas,123,2018,12.0,2018-12-14 16:00:00,2018-12-17 02:00:00,"58 Hours,  0 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,150000
Snohomish,124,2018,12.0,2018-12-14 18:00:00,2018-12-14 18:00:00,". Hours,  . Minutes",Snohomish County PUD No. 1,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",200,60000
Skagit,125,2018,12.0,2018-12-20 09:30:00,2018-12-20 17:00:00,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
Snohomish,125,2018,12.0,2018-12-20 09:30:00,2018-12-20 17:00:00,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
King,125,2018,12.0,2018-12-20 09:30:00,2018-12-20 17:00:00,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
Kitsap,125,2018,12.0,2018-12-20 09:30:00,2018-12-20 17:00:00,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
Island,125,2018,12.0,2018-12-20 09:30:00,2018-12-20 17:00:00,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,165000
